execution,n_threads,n_process,time,,,,,,,,,,,,,,
1,2,16,5.1043,,,,,,,,,,,,,,
2,2,16,6.0619,,,,,,,,,,,,,,
3,2,16,5.5373,,,,,,,,,,,,,,
4,2,16,4.9545,,,,,,,,,,,,,,
5,2,16,5.0271,,,,,,,,,,,,,,
6,2,16,4.9922,,,,,,,,,,,,,,
7,2,16,5.0474,,,,,,,,,,,,,,
8,2,16,5.1926,,,,,,,,,,,,,,
9,2,16,5.4746,,,,,,,,,,,,,,
10,2,16,5.0203,,,,,,,,,,,,,,
11,2,16,5.0278,,,,,,,,,,,,,,
12,2,16,5.1195,,,,,,,,,,,,,,
13,2,16,5.0746,,,,,,,,,,,,,,
14,2,16,5.2686,,,,,,,,,,,,,,
15,2,16,5.6527,,,,,,,,,,,,,,
1,4,16,5.0168,,,,,,,,,,,,,,
2,4,16,5.5129,,,,,,,,,,,,,,
3,4,16,4.8299,,,,,,,,,,,,,,
4,4,16,5.3132,,,,,,,,,,,,,,
5,4,16,5.4746,,,,,,,,,,,,,,
6,4,16,5.3294,,,,,,,,,,,,,,
7,4,16,5.6674,,,,,,,,,,,,,,
8,4,16,5.5631,,,,,,,,,,,,,,
9,4,16,5.0040,,,,,,,,,,,,,,
10,4,16,5.6318,,,,,,,,,,,,,,
11,4,16,5.5336,,,,,,,,,,,,,,
12,4,16,5.5695,,,,,,,,,,,,,,
13,4,16,5.5645,,,,,,,,,,,,,,
14,4,16,5.1749,,,,,,,,,,,,,,
15,4,16,5.4745,,,,,,,,,,,,,,
1,8,16,5.7371,,,,,,,,,,,,,,
2,8,16,5.1451,,,,,,,,,,,,,,
3,8,16,5.6219,,,,,,,,,,,,,,
4,8,16,5.1189,,,,,,,,,,,,,,
5,8,16,4.7757,,,,,,,,,,,,,,
6,8,16,5.4643,,,,,,,,,,,,,,
7,8,16,5.0707,,,,,,,,,,,,,,
8,8,16,4.9794,,,,,,,,,,,,,,
9,8,16,4.8653,,,,,,,,,,,,,,
10,8,16,5.0790,,,,,,,,,,,,,,
11,8,16,5.2091,,,,,,,,,,,,,,
12,8,16,5.0458,,,,,,,,,,,,,,
13,8,16,5.5319,,,,,,,,,,,,,,
14,8,16,5.4999,,,,,,,,,,,,,,
15,8,16,5.4949,,,,,,,,,,,,,,
1,16,16,4.7889,,,,,,,,,,,,,,
2,16,16,5.1919,,,,,,,,,,,,,,
3,16,16,5.4089,,,,,,,,,,,,,,
4,16,16,5.5189,,,,,,,,,,,,,,
5,16,16,5.5481,,,,,,,,,,,,,,
6,16,16,5.0713,,,,,,,,,,,,,,
7,16,16,5.4669,,,,,,,,,,,,,,
8,16,16,5.5787,,,,,,,,,,,,,,
9,16,16,5.6067,,,,,,,,,,,,,,
10,16,16,5.8445,,,,,,,,,,,,,,
11,16,16,5.6071,,,,,,,,,,,,,,
12,16,16,5.6388,,,,,,,,,,,,,,
13,16,16,5.2390,,,,,,,,,,,,,,
14,16,16,6.1594,,,,,,,,,,,,,,
15,16,16,4.9444,,,,,,,,,,,,,,
1,32,16,5.3993,,,,,,,,,,,,,,
2,32,16,5.6303,,,,,,,,,,,,,,
3,32,16,5.6609,,,,,,,,,,,,,,
4,32,16,5.6993,,,,,,,,,,,,,,
5,32,16,5.7416,,,,,,,,,,,,,,
6,32,16,5.9743,,,,,,,,,,,,,,
7,32,16,5.8256,,,,,,,,,,,,,,
8,32,16,5.9780,,,,,,,,,,,,,,
9,32,16,5.5350,,,,,,,,,,,,,,
10,32,16,4.8353,,,,,,,,,,,,,,
11,32,16,5.4866,,,,,,,,,,,,,,
12,32,16,5.7996,,,,,,,,,,,,,,
13,32,16,5.4449,,,,,,,,,,,,,,
14,32,16,4.8544,,,,,,,,,,,,,,
15,32,16,5.6389,,,,,,,,,,,,,,
